epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2041.57,1.90852,2.93412,1.76539,0.34253,0.40236,0.30256,0.1512,1.96981,3.05471,1.82927,0.000367347,0.000367347,0.000367347
2,4269.2,1.785,2.23891,1.66988,0.3532,0.39116,0.28905,0.12519,2.08383,4.87958,2.06622,0.000723074,0.000723074,0.000723074
3,8275.92,1.79695,2.16911,1.68859,0.38535,0.40031,0.34889,0.16446,2.12323,3.254,2.01502,0.00106414,0.00106414,0.00106414
4,21623.4,1.76212,2.07667,1.6495,0.44403,0.49489,0.46351,0.24448,1.8414,2.5301,1.76785,0.00104501,0.00104501,0.00104501
5,23199.4,1.6872,1.96313,1.60609,0.52989,0.5416,0.53074,0.28415,1.76024,2.01418,1.67132,0.00102301,0.00102301,0.00102301
6,24863.9,1.64281,1.88387,1.58281,0.55239,0.5289,0.56617,0.32014,1.66229,1.95249,1.60059,0.00100101,0.00100101,0.00100101
7,26411.1,1.58054,1.76823,1.52066,0.63963,0.63554,0.65688,0.36641,1.60425,1.75092,1.55963,0.000979013,0.000979013,0.000979013
8,28566.2,1.53111,1.70835,1.49719,0.63128,0.59739,0.64633,0.37431,1.60473,1.69426,1.55808,0.000957015,0.000957015,0.000957015
9,30588.8,1.50536,1.66486,1.48883,0.71512,0.65557,0.70607,0.40032,1.53811,1.54404,1.50123,0.000935018,0.000935018,0.000935018
10,35958.1,1.47919,1.63551,1.46492,0.68907,0.69652,0.73926,0.43917,1.46431,1.45159,1.43565,0.00091302,0.00091302,0.00091302
11,53635.2,1.46024,1.57149,1.44649,0.76397,0.73562,0.77956,0.47053,1.45519,1.34549,1.42384,0.000891022,0.000891022,0.000891022
12,69618.9,1.4287,1.50129,1.42613,0.77115,0.76354,0.81372,0.49333,1.39173,1.26078,1.35568,0.000869024,0.000869024,0.000869024
13,88777.2,1.40364,1.48061,1.40971,0.78554,0.79117,0.83105,0.50683,1.34208,1.24068,1.35918,0.000847026,0.000847026,0.000847026
14,90373.3,1.369,1.39693,1.37951,0.78538,0.77469,0.83555,0.52988,1.34362,1.15995,1.32103,0.000825029,0.000825029,0.000825029
15,91954.5,1.36848,1.40305,1.38206,0.76897,0.80775,0.82951,0.53057,1.3375,1.20286,1.32922,0.000803031,0.000803031,0.000803031
